序号,WriteTime,角度,GlobalAvg,GlobalAvg',Percentage,GlobalSum,GlobalSum',Percentage,RoiAvgWithoutBlackLevel,RoiAvgWithoutBlackLevel',Percentage,RoiSumWithoutBlackLevel,RoiSumWithoutBlackLevel',Percentage,RoiAvg,RoiAvg',Percentage,RoiSum,RoiSum',Percentage,MonitorData,CalcAlgorithmCol,RoiX,RoiY,RoiWidth,RoiHeight,是否启用自动Roi(只影响坐标),粗调起始角度,粗调范围(°),粗调步距(°),粗调拟合阶数,平均值时间,是否启用补偿,
1,20210706 09:45:31:0188,-23.002,16499205.5333333,16499205.5333333,0,34.6098983333333,34.6098983333333,0,1384395.93333333,1384395.93333333,0,12.5878948465983,12.5878948465983,0,22.7152168928901,22.7152168928901,0,908608.675715605,908608.675715605,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
2,20210706 09:45:31:0188,-18.002,21156107.5333333,21067388.6104167,0,47.26114,47.4310702604167,0,1890445.6,1897242.81041667,0,16.140829111735,16.0731419452031,0,32.0999227898094,32.345019989704,0,1283996.91159238,1293800.79958816,0,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
3,20210706 09:45:31:0188,-13.002,25635571.6875,25249979.5166667,0.421119696215234,60.2522421875,59.814085625,-0.358267817874811,2410089.6875,2392563.425,-0.358267817874844,19.558389043808,19.2642055638631,0.421119696215189,41.9748230865179,41.8263179880173,-0.757758690433884,1678992.92346072,1673052.71952069,-0.757758690433844,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
4,20210706 09:45:31:0188,-8.002,29343851.5,28738409.25,1.52709894508555,72.36703125,70.20254921875,0.732530737403553,2894681.25,2808101.96875,0.732530737403552,22.3875820159912,21.9256662368774,1.52709894508557,51.5527131862251,49.7965531840217,0.355051808631901,2062108.52744901,1991862.12736087,0.355051808631902,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
5,20210706 09:45:31:0188,-3.002,31841246.8125,31103832.25,2.10673543108513,80.15285625,78.48460859375,3.08319577470828,3206114.25,3139384.34375,3.08319577470828,24.2929434299469,23.7303407669067,2.10673543108516,57.6182832815254,56.4778345552128,3.52666979924019,2304731.33126102,2259113.38220851,3.52666979924019,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
6,20210706 09:45:31:0198,1.998,32863813,32038594.21875,2.37081577785323,84.6021859375,81.80897890625,2.12557300869668,3384087.4375,3272359.15625,2.1255730086967,25.0730995178223,24.4435075521469,2.3708157778532,61.4029559242004,59.1712341139275,2.01928550429416,2456118.23696802,2366849.3645571,2.01928550429417,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
7,20210706 09:45:31:0198,6.998,32235941.625,31513323.9375,2.57570221594509,83.4651015625,80.7319515625,3.41430374586502,3338604.0625,3229278.0625,3.414303745865,24.5940716743469,24.0427581310272,2.57570221594509,60.7241849463296,58.4736681680465,3.77163303029303,2428967.39785319,2338946.72672186,3.77163303029305,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
8,20210706 09:45:31:0198,11.998,30162834.875,29491530.9375,2.29305448366272,76.8617171875,75.53224296875,3.38546256730098,3074468.6875,3021289.71875,3.38546256730098,23.0124167442322,22.5002524852753,2.29305448366273,55.5443804118925,54.7013429917684,3.84876962364575,2221775.2164757,2188053.71967074,3.84876962364572,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
9,20210706 09:45:31:0198,16.998,26747120.25,26322635.125,2.27626005215756,67.599384375,66.212553125,1.7601413204425,2703975.375,2648502.125,1.76014132044251,20.4064332962036,20.0825768470764,2.27626005215757,48.6785010372073,47.5820656848086,1.54116402635834,1947140.04148829,1903282.62739234,1.54116402635838,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
10,20210706 09:45:31:0198,21.998,22482435.375,22270571.4916667,1.61262397546531,55.5633890625,54.6078688541667,2.09451408312538,2222535.5625,2184314.75416667,2.09451408312538,17.1527369499207,16.9910976346334,1.61262397546529,39.6197509577248,38.8008801095967,2.30430380988839,1584790.03830899,1552035.20438387,2.30430380988837,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
11,20210706 09:45:31:0198,26.998,17794022.7333333,17794022.7333333,0.951317676839167,41.6163533333333,41.6163533333333,1.74978483574429,1664654.13333333,1664654.13333333,1.74978483574427,13.5757619730632,13.5757619730632,0.951317676839201,28.9232591819861,28.9232591819861,2.1104440049172,1156930.36727944,1156930.36727944,2.11044400491722,9.99999971718069E-10,GlobalSum,236,239,825,634,True,-23.001,50,5,2,0.2,True,
