CurveID,GroupIndex,CaptureIndex,SystemTime,DataType,GlobalAvg,GlobalSum,RoiAvgWithoutBlackLevel,RoiSumWithoutBlackLevel,RoiAvg,RoiSum,RoiX,RoiY,RoiWidth,RoiHeight,CX,CY,Area,GroupTime,SingleTime
0,0,0,20210708-171436.530486,Source,14.27989197,18716940,24.94948076,997979.2304,38.467975,1538719,362,495,200,200,462.4996841,595.5364805,348186,11,11
0,0,1,20210708-171436.541457,Source,14.22094345,18639675,24.75757271,990302.9083,38.222975,1528919,361,494,200,200,461.7462876,594.5777971,346067,22,22
0,0,2,20210708-171436.555586,Source,14.2542984,18683394,25.00819102,1000327.641,38.4993,1539972,364,496,200,200,464.1733095,596.0359137,346386,35,35
0,0,3,20210708-171436.569520,Source,14.1738678,18577972,24.83416064,993366.4256,38.25015,1530006,363,493,200,200,463.5205966,593.6923557,346270,49,49
0,0,4,20210708-171436.584480,Source,14.18980484,18598861,24.85194122,994077.6487,38.283325,1531333,362,494,200,200,462.669993,594.7927948,343920,64,64
0,0,5,20210708-171436.598443,Source,14.24100266,18665967,24.83368631,993347.4523,38.316825,1532673,361,494,200,200,461.9558532,594.5495662,347636,78,78
0,0,6,20210708-171436.611408,Source,14.28246002,18720306,24.97499122,998999.649,38.495275,1539811,362,493,200,200,462.163683,593.9701851,348903,91,91
0,0,7,20210708-171436.625380,Source,14.31026154,18756746,25.05441349,1002176.539,38.600075,1544003,365,493,200,200,465.8750989,593.8649019,330001,105,105
0,0,8,20210708-171436.639333,Source,14.20581512,18619846,24.83359608,993343.8434,38.28155,1531262,362,495,200,200,462.488325,595.0548473,344839,119,119
0,0,9,20210708-171436.652505,Source,14.12385712,18512422,24.81013821,992405.5286,38.17685,1527074,362,494,200,200,462.8481938,594.5636262,342453,132,132
0,0,10,20210708-171436.666535,Source,14.12142715,18509237,24.88557018,995422.8071,38.24755,1529902,364,494,200,200,464.4708845,594.1301559,343150,146,146
0,0,11,20210708-171436.681498,Source,14.11583633,18501909,24.86286819,994514.7275,38.21995,1528798,362,493,200,200,462.013468,593.4800116,345301,161,161
0,0,12,20210708-171436.694569,Source,14.24359741,18669368,25.02681022,1001072.409,38.50665,1540266,361,494,200,200,461.8316251,594.258695,347929,174,174
0,0,13,20210708-171436.708561,Source,14.19061127,18599918,24.8857155,995428.62,38.316875,1532675,364,494,200,200,464.8950589,594.2137875,342354,188,188
0,0,14,20210708-171436.721562,Source,14.18465576,18592112,24.84170285,993668.1138,38.26825,1530730,361,494,200,200,461.075901,594.5327747,346761,202,202
